Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
15000,14675.0,0.0788,36,home_improvement,0.53%,VA,MORTGAGE,10417.0,780-784,8.0,1343.0,1.0,< 1 year
10000,9850.0,0.1531,36,debt_consolidation,18.60%,NY,RENT,2500.0,665-669,8.0,9092.0,1.0,< 1 year
8875,8875.0,0.1311,36,other,30.46%,TX,OWN,2166.67,700-704,9.0,6797.0,1.0,2 years
2400,2400.0,0.1074,36,credit_card,11.20%,NY,RENT,2000.0,705-709,4.0,3055.0,0.0,10+ years
25000,24950.0,0.2053,60,debt_consolidation,18.50%,NJ,RENT,8000.0,675-679,9.0,19548.0,0.0,3 years
6000,6000.0,0.1253,36,credit_card,23.07%,PA,RENT,2916.67,685-689,11.0,3334.0,0.0,2 years
18000,18000.0,0.1905,60,debt_consolidation,6.28%,MD,MORTGAGE,7500.0,690-694,8.0,20675.0,1.0,10+ years
6000,6000.0,0.1311,36,credit_card,4.53%,NY,RENT,2625.0,690-694,5.0,4299.0,1.0,10+ years
7200,7200.0,0.089,60,debt_consolidation,25.16%,LA,MORTGAGE,3750.0,750-754,13.0,7283.0,0.0,6 years
11500,11500.0,0.1114,36,debt_consolidation,10.47%,AL,RENT,2916.67,700-704,6.0,9562.0,0.0,< 1 year
4800,4800.0,0.0542,36,major_purchase,10.23%,FL,MORTGAGE,6333.33,790-794,13.0,10704.0,0.0,10+ years
15000,15000.0,0.1065,36,other,14.36%,CA,RENT,9083.33,720-724,11.0,26902.0,0.0,3 years
4800,4800.0,0.1875,60,other,27.69%,TX,RENT,1560.0,680-684,9.0,6563.0,0.0,< 1 year
9500,9500.0,0.0662,36,debt_consolidation,19.28%,GA,MORTGAGE,3583.33,735-739,8.0,5240.0,0.0,10+ years
6000,6000.0,0.1398,36,debt_consolidation,7.73%,CO,RENT,6250.0,675-679,6.0,3507.0,0.0,4 years
12300,12300.0,0.0603,36,debt_consolidation,7.15%,VA,RENT,6666.67,740-744,10.0,10976.0,0.0,10+ years
24000,23950.0,0.0751,36,other,17.95%,PA,OWN,4250.0,755-759,6.0,19509.0,0.0,2 years
14000,14000.0,0.0976,36,debt_consolidation,22.55%,NJ,MORTGAGE,8750.0,710-714,8.0,25026.0,0.0,10+ years
10000,10000.0,0.1212,36,debt_consolidation,5.95%,NJ,OWN,5000.0,700-704,5.0,10752.0,0.0,4 years
13000,8113.74,0.0963,36,small_business,16.14%,TX,MORTGAGE,3500.0,785-789,6.0,0.0,1.0,1 year
5000,5000.0,0.1629,60,other,11.80%,VA,RENT,5416.67,690-694,7.0,8745.0,1.0,4 years
6000,5994.0,0.1242,36,credit_card,11.68%,VA,RENT,2500.0,670-674,6.0,9482.0,0.0,2 years
10050,10050.0,0.1433,36,debt_consolidation,6.07%,CA,RENT,2916.67,710-714,9.0,7413.0,1.0,6 years
14400,14400.0,0.1074,36,debt_consolidation,5.90%,CA,MORTGAGE,6833.33,700-704,15.0,10017.0,0.0,10+ years
11625,11625.0,0.1531,36,debt_consolidation,16.73%,CA,RENT,2833.33,695-699,8.0,17469.0,0.0,10+ years
18200,18200.0,0.1016,36,credit_card,7.95%,NY,RENT,4750.0,720-724,13.0,16184.0,2.0,3 years
20000,19875.0,0.1335,36,debt_consolidation,15.68%,TX,MORTGAGE,9160.0,710-714,9.0,32392.0,1.0,10+ years
9600,9575.0,0.1727,60,credit_card,12.90%,NY,RENT,3333.33,695-699,7.0,13648.0,1.0,10+ years
9000,9000.0,0.1183,36,car,0.48%,MD,RENT,4833.0,715-719,6.0,0.0,1.0,4 years
1900,1900.0,0.0751,36,debt_consolidation,19.27%,PA,MORTGAGE,6000.0,735-739,12.0,18397.0,2.0,10+ years
20000,19896.51,0.1367,36,debt_consolidation,15.34%,FL,RENT,5166.67,710-714,8.0,12394.0,1.0,6 years
2400,2400.0,0.1037,36,wedding,9.54%,MN,MORTGAGE,3166.67,675-679,6.0,2174.0,0.0,1 year
4500,4500.0,0.1171,36,debt_consolidation,15.87%,CA,MORTGAGE,3333.33,675-679,15.0,11963.0,0.0,6 years
12000,12000.0,0.1212,36,debt_consolidation,19.41%,TX,MORTGAGE,8750.0,710-714,10.0,32028.0,1.0,4 years
10000,8175.26,0.0863,36,debt_consolidation,5.91%,GA,MORTGAGE,7500.0,730-734,16.0,18343.0,0.0,7 years
11575,11575.0,0.079,36,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,730-734,8.0,5654.0,0.0,10+ years
20000,20000.0,0.0662,36,credit_card,21.61%,DC,MORTGAGE,8161.33,720-724,14.0,27904.0,1.0,8 years
6000,3475.0,0.147,36,debt_consolidation,10.23%,MD,RENT,6500.0,640-644,6.0,4103.0,0.0,1 year
2800,2800.0,0.1,36,debt_consolidation,20.32%,CA,RENT,3250.0,700-704,4.0,8717.0,0.0,5 years
6000,6000.0,0.1409,36,credit_card,9.93%,CA,RENT,4250.0,680-684,6.0,5815.0,1.0,3 years
20000,14750.0,0.0691,36,debt_consolidation,15.16%,CO,RENT,9208.0,735-739,10.0,20965.0,0.0,3 years
22000,22000.0,0.1399,60,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,720-724,9.0,20181.0,0.0,8 years
10000,10000.0,0.1311,36,debt_consolidation,20.34%,MI,RENT,5416.67,675-679,9.0,8066.0,0.0,10+ years
9450,9450.0,0.1212,36,credit_card,11.74%,IL,MORTGAGE,4666.67,690-694,13.0,17639.0,2.0,10+ years
15875,15818.07,0.1528,60,debt_consolidation,22.10%,CA,RENT,3000.0,720-724,5.0,14289.0,2.0,2 years
18000,18000.0,0.1212,60,other,14.89%,VA,MORTGAGE,8333.33,730-734,7.0,4038.0,0.0,5 years
8000,8000.0,0.089,36,other,2.93%,NY,RENT,5000.0,710-714,8.0,5540.0,0.0,2 years
12000,12000.0,0.1433,36,moving,20.06%,NY,RENT,4166.67,760-764,8.0,14163.0,0.0,2 years
20000,12150.0,0.0654,60,debt_consolidation,12.36%,NY,OWN,5000.0,795-799,9.0,7960.0,2.0,10+ years
24500,23475.0,0.1903,60,debt_consolidation,23.02%,MD,RENT,4497.0,680-684,13.0,18906.0,0.0,10+ years
10000,10000.0,0.1212,36,debt_consolidation,19.58%,CA,RENT,6250.0,695-699,17.0,16348.0,0.0,5 years
12000,12000.0,0.1749,60,debt_consolidation,6.94%,OR,MORTGAGE,5445.0,670-674,8.0,4904.0,0.0,9 years
6950,6950.0,0.1074,36,credit_card,20.71%,IL,OWN,4583.33,685-689,7.0,18814.0,0.0,10+ years
8525,8525.0,0.1016,36,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,705-709,8.0,31398.0,0.0,10+ years
5000,5000.0,0.1433,36,credit_card,28.51%,CO,RENT,2750.0,690-694,14.0,5957.0,2.0,3 years
4800,4800.0,0.1825,60,debt_consolidation,13.81%,OR,RENT,3750.0,695-699,13.0,16302.0,0.0,10+ years
14000,14000.0,0.0603,36,debt_consolidation,14.67%,CA,RENT,7500.0,745-749,12.0,16648.0,0.0,10+ years
23500,23450.0,0.1465,36,debt_consolidation,19.48%,CA,RENT,4000.0,685-689,7.0,20542.0,0.0,n/a
2000,2000.0,0.0617,36,major_purchase,2.63%,CA,RENT,1600.0,745-749,9.0,736.0,0.0,3 years
12800,12800.0,0.1149,60,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,725-729,7.0,11992.0,1.0,1 year
8000,8000.0,0.079,36,wedding,21.58%,CA,RENT,5166.67,725-729,5.0,0.0,0.0,1 year
3000,3000.0,0.0999,36,credit_card,21.30%,MO,OWN,2333.33,710-714,10.0,3168.0,1.0,1 year
18000,17975.0,0.1348,36,credit_card,6.24%,IL,MORTGAGE,8333.33,690-694,13.0,14838.0,0.0,10+ years
9000,5975.0,0.1411,36,debt_consolidation,8.21%,CA,MORTGAGE,4167.0,670-674,7.0,19696.0,1.0,3 years
11000,11000.0,0.1099,36,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,695-699,11.0,4124.0,0.0,4 years
6000,6000.0,0.079,36,major_purchase,14.99%,IL,RENT,4416.67,720-724,10.0,2928.0,0.0,2 years
6500,6475.0,0.0774,36,debt_consolidation,18%,NH,RENT,1500.0,785-789,5.0,2816.0,0.0,2 years
19500,19500.0,0.1849,36,credit_card,9.79%,MD,RENT,10000.0,675-679,16.0,14957.0,1.0,2 years
16000,16000.0,0.1727,60,major_purchase,19.26%,MD,RENT,7000.0,695-699,7.0,5231.0,1.0,10+ years
10000,10000.0,0.1409,36,debt_consolidation,5.82%,LA,RENT,8750.0,660-664,14.0,11394.0,0.0,3 years
16000,15900.0,0.1558,60,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,700-704,11.0,19407.0,1.0,5 years
8000,8000.0,0.1372,36,wedding,9.67%,TX,RENT,7758.33,665-669,6.0,12110.0,1.0,2 years
14500,14500.0,0.1311,36,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,700-704,12.0,18020.0,2.0,10+ years
12000,11925.0,0.1062,36,other,19.02%,VA,RENT,5000.0,720-724,9.0,11779.0,0.0,1 year
4500,4500.0,0.1343,36,car,1.23%,CA,RENT,11500.0,670-674,5.0,1847.0,1.0,1 year
16500,16350.0,0.1183,36,debt_consolidation,17.44%,TX,RENT,4810.08,725-729,7.0,24351.0,1.0,3 years
10000,10000.0,0.0991,36,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,705-709,9.0,17161.0,0.0,1 year
6000,6000.0,0.079,36,credit_card,9.31%,TX,OWN,1750.0,705-709,14.0,5056.0,0.0,6 years
12000,12000.0,0.1922,36,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3.0,6309.0,0.0,6 years
12100,12100.0,0.1689,36,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5.0,2081.0,0.0,4 years
25000,25000.0,0.1409,36,home_improvement,4.79%,MD,MORTGAGE,6833.33,675-679,5.0,8811.0,0.0,8 years
27000,27000.0,0.1825,36,home_improvement,22.32%,SC,MORTGAGE,8583.33,690-694,9.0,6658.0,1.0,8 years
12250,12250.0,0.1875,36,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7.0,10523.0,0.0,7 years
10000,10000.0,0.1777,36,debt_consolidation,22.60%,AZ,RENT,2500.0,665-669,12.0,12938.0,2.0,4 years
9175,9175.0,0.1367,36,credit_card,19.43%,IL,MORTGAGE,7083.33,675-679,8.0,25639.0,0.0,8 years
14075,14075.0,0.1531,36,debt_consolidation,25.70%,VA,OWN,4000.0,680-684,13.0,11907.0,2.0,5 years
14675,14675.0,0.089,36,debt_consolidation,14.95%,NY,MORTGAGE,4000.0,715-719,6.0,12764.0,0.0,7 years
5000,4900.0,0.1114,36,major_purchase,2.84%,FL,RENT,3200.0,710-714,6.0,2650.0,2.0,3 years
18000,18000.0,0.1311,36,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,670-674,11.0,16680.0,0.0,10+ years
12000,12000.0,0.0762,36,debt_consolidation,15.10%,CO,RENT,5666.67,775-779,7.0,12094.0,0.0,10+ years
19400,19400.0,0.1433,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12.0,12434.0,0.0,7 years
18000,18000.0,0.1212,36,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15.0,26573.0,0.0,10+ years
12000,12000.0,0.1777,36,debt_consolidation,9.84%,NY,MORTGAGE,7500.0,665-669,11.0,15866.0,0.0,7 years
8000,8000.0,0.1311,36,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,675-679,15.0,11500.0,0.0,< 1 year
7500,7475.0,0.1558,36,debt_consolidation,10.74%,VA,MORTGAGE,5000.0,695-699,8.0,8257.0,0.0,2 years
5500,5500.0,0.1269,36,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7.0,5056.0,1.0,< 1 year
3000,2950.0,0.1114,36,major_purchase,27.74%,VA,MORTGAGE,4333.33,715-719,6.0,6346.0,0.0,5 years
1600,1600.0,0.1349,36,debt_consolidation,12.10%,CA,RENT,3200.0,670-674,5.0,1214.0,0.0,6 years
6000,6000.0,0.0749,36,home_improvement,14.66%,NC,MORTGAGE,5833.33,715-719,12.0,7961.0,0.0,9 years
12825,12825.0,0.1777,36,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,670-674,15.0,8539.0,1.0,10+ years
10000,10000.0,0.1849,60,debt_consolidation,16.47%,FL,RENT,4104.67,695-699,5.0,7597.0,0.0,5 years
5500,5500.0,0.1433,36,debt_consolidation,27.83%,WV,OWN,1541.67,675-679,5.0,10481.0,1.0,n/a
17500,17500.0,0.1472,36,debt_consolidation,9.30%,CA,RENT,9519.75,695-699,9.0,31279.0,0.0,10+ years
10000,10000.0,0.1311,36,credit_card,19.01%,OH,MORTGAGE,7500.0,680-684,11.0,14426.0,1.0,9 years
20000,16275.0,0.0617,36,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,770-774,13.0,29813.0,1.0,10+ years
11600,11600.0,0.0699,36,debt_consolidation,8.62%,CA,RENT,5833.33,735-739,8.0,2671.0,1.0,< 1 year
12000,12000.0,0.1399,60,debt_consolidation,12.98%,CT,RENT,4166.67,715-719,8.0,2316.0,1.0,3 years
13000,6770.1,0.1126,36,small_business,14.05%,CA,MORTGAGE,7666.67,720-724,8.0,9551.0,0.0,9 years
8575,8550.0,0.1727,36,debt_consolidation,9.84%,NY,RENT,2500.0,665-669,6.0,8807.0,2.0,7 years
6100,6100.0,0.1409,36,credit_card,9.51%,LA,RENT,6666.67,685-689,10.0,5665.0,2.0,2 years
14000,14000.0,0.1531,36,credit_card,14.26%,PA,MORTGAGE,5000.0,680-684,5.0,11249.0,2.0,10+ years
10500,10500.0,0.1433,36,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,670-674,7.0,11301.0,0.0,10+ years
19600,19525.0,0.2149,60,small_business,9.76%,CA,RENT,4170.0,675-679,8.0,11669.0,0.0,4 years
15000,15000.0,0.158,36,credit_card,10.27%,NV,RENT,3333.33,670-674,11.0,10108.0,0.0,4 years
8000,8000.0,0.1727,36,other,5.28%,AZ,MORTGAGE,5833.33,725-729,11.0,12484.0,1.0,10+ years
20000,20000.0,0.2149,36,debt_consolidation,27.47%,TX,MORTGAGE,7750.0,660-664,15.0,26976.0,0.0,2 years
11000,10969.64,0.1253,36,debt_consolidation,18.89%,IL,RENT,3500.0,700-704,6.0,6811.0,1.0,2 years
6000,5905.66,0.179,36,credit_card,6.60%,MI,RENT,4166.67,675-679,5.0,3433.0,1.0,2 years
12000,12000.0,0.1114,36,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,705-709,12.0,11941.0,0.0,2 years
17000,17000.0,0.1311,36,debt_consolidation,16.92%,CA,RENT,5083.33,690-694,10.0,8890.0,0.0,7 years
6250,6250.0,0.079,36,debt_consolidation,8.45%,IL,RENT,1916.67,720-724,6.0,3295.0,0.0,1 year
27825,27825.0,0.2376,60,debt_consolidation,12.86%,CA,RENT,6250.0,665-669,16.0,27093.0,1.0,4 years
4200,3969.9,0.1411,36,home_improvement,4.62%,OH,MORTGAGE,1558.42,675-679,6.0,2255.0,1.0,< 1 year
3800,3800.0,0.2198,36,small_business,8.31%,CA,RENT,4333.33,680-684,6.0,4843.0,2.0,7 years
6000,6000.0,0.1409,36,debt_consolidation,24.25%,AZ,RENT,4000.0,680-684,12.0,24934.0,1.0,10+ years
21000,21000.0,0.1905,60,debt_consolidation,16.24%,TX,RENT,8416.67,685-689,8.0,8764.0,2.0,5 years
2500,2500.0,0.1349,36,credit_card,6.24%,NY,RENT,5416.67,680-684,8.0,15373.0,0.0,6 years
2400,2400.0,0.1677,36,other,17%,WA,RENT,2700.0,690-694,3.0,3418.0,1.0,3 years
13000,13000.0,0.1074,36,credit_card,15.46%,CA,RENT,2166.67,720-724,4.0,11101.0,0.0,3 years
4800,4800.0,0.1465,36,credit_card,13.90%,HI,RENT,5000.0,665-669,8.0,7391.0,0.0,2 years
17475,17475.0,0.0991,36,credit_card,17.76%,NJ,RENT,3333.33,730-734,15.0,17261.0,1.0,2 years
14000,14000.0,0.1465,36,debt_consolidation,3.47%,CA,MORTGAGE,8750.0,680-684,6.0,9035.0,1.0,10+ years
2500,2500.0,0.1727,36,other,11.34%,OH,MORTGAGE,5833.33,665-669,8.0,14122.0,0.0,8 years
8000,8000.0,0.1849,36,debt_consolidation,14.45%,VA,RENT,4166.67,660-664,10.0,9425.0,2.0,4 years
5000,5000.0,0.1253,36,debt_consolidation,21.49%,FL,RENT,3108.33,705-709,8.0,0.0,0.0,2 years
3000,2975.0,0.089,36,debt_consolidation,32%,FL,RENT,1000.0,700-704,7.0,9730.0,0.0,n/a
6000,6000.0,0.079,36,credit_card,33.64%,WI,RENT,4116.67,705-709,16.0,33746.0,0.0,1 year
7800,7800.0,0.1065,36,debt_consolidation,7.15%,CO,MORTGAGE,4000.0,720-724,6.0,11063.0,2.0,9 years
18500,3100.0,0.1533,36,credit_card,5.24%,NY,RENT,7500.0,660-664,8.0,22379.0,0.0,1 year
12000,12000.0,0.1299,60,home_improvement,16.67%,GA,MORTGAGE,9166.67,710-714,11.0,25165.0,0.0,2 years
5000,5000.0,0.1599,36,debt_consolidation,5.26%,AL,MORTGAGE,2416.67,665-669,5.0,1620.0,0.0,6 years
2500,2500.0,0.1059,60,other,2.15%,MD,OWN,3958.0,745-749,4.0,3417.0,0.0,2 years
16000,16000.0,0.1629,60,debt_consolidation,5.76%,NC,MORTGAGE,5083.33,710-714,7.0,8729.0,1.0,10+ years
25000,25000.0,0.1531,60,debt_consolidation,3.98%,NY,RENT,5666.67,745-749,6.0,11079.0,0.0,3 years
2200,2200.0,0.1016,36,major_purchase,24.15%,GA,MORTGAGE,3400.0,730-734,6.0,1453.0,0.0,5 years
14000,13825.0,0.1025,36,debt_consolidation,9.26%,GA,MORTGAGE,8333.33,730-734,8.0,40267.0,1.0,10+ years
3000,3000.0,0.1311,36,debt_consolidation,32.21%,SD,MORTGAGE,2583.33,670-674,13.0,6683.0,0.0,1 year
17325,17325.0,0.1727,60,debt_consolidation,30.24%,CA,RENT,3750.0,705-709,13.0,31362.0,1.0,9 years
3300,3300.0,0.1171,36,car,4.16%,FL,RENT,3730.0,700-704,7.0,3675.0,1.0,1 year
2000,2000.0,0.1727,36,home_improvement,20.51%,GA,MORTGAGE,3750.0,670-674,10.0,1371.0,1.0,7 years
17975,17975.0,0.1855,36,debt_consolidation,18.55%,FL,RENT,4833.33,670-674,10.0,17448.0,0.0,7 years
15000,14925.21,0.1347,36,debt_consolidation,14.06%,NY,RENT,4458.33,700-704,15.0,7701.0,1.0,6 years
16400,16350.0,0.1399,60,debt_consolidation,23.60%,FL,RENT,3500.0,725-729,11.0,16693.0,1.0,5 years
13500,13500.0,0.1399,60,debt_consolidation,12.59%,OR,MORTGAGE,8833.33,700-704,11.0,18978.0,0.0,2 years
12000,12000.0,0.1527,36,debt_consolidation,3.90%,AZ,RENT,7083.33,670-674,7.0,6040.0,1.0,2 years
16750,16750.0,0.2148,60,debt_consolidation,21.88%,HI,RENT,2833.33,665-669,12.0,7903.0,0.0,3 years
8000,8000.0,0.1218,36,major_purchase,1.24%,MA,RENT,1125.0,745-749,2.0,707.0,0.0,2 years
10000,10000.0,0.0976,36,debt_consolidation,14.08%,LA,MORTGAGE,5416.67,710-714,8.0,10560.0,0.0,3 years
10000,10000.0,0.1521,36,debt_consolidation,10.93%,CA,RENT,7083.0,670-674,13.0,11890.0,0.0,3 years
5525,5525.0,0.1385,36,credit_card,21.03%,CA,MORTGAGE,6620.0,720-724,8.0,37573.0,2.0,10+ years
19600,19575.0,0.1629,36,other,29.38%,NY,RENT,4166.67,680-684,17.0,22053.0,1.0,3 years
4000,4000.0,0.1148,36,debt_consolidation,22.93%,TX,MORTGAGE,3833.33,715-719,9.0,0.0,0.0,2 years
13000,13000.0,0.1311,36,debt_consolidation,10.58%,NH,RENT,5000.0,735-739,3.0,11090.0,1.0,1 year
20000,19900.0,0.1025,36,wedding,11.35%,NY,RENT,7083.33,750-754,14.0,18196.0,0.0,3 years
24000,24000.0,0.1433,36,debt_consolidation,15.86%,CA,MORTGAGE,7500.0,670-674,5.0,2426.0,0.0,10+ years
7000,7000.0,0.1849,36,wedding,15.92%,IL,RENT,5000.0,660-664,11.0,13665.0,1.0,5 years
12000,11975.0,0.1677,60,debt_consolidation,10.71%,MD,MORTGAGE,3500.0,685-689,6.0,26874.0,0.0,10+ years
14000,14000.0,0.1903,60,debt_consolidation,13.52%,CA,MORTGAGE,3616.0,670-674,9.0,13923.0,0.0,2 years
10000,9975.0,0.1114,36,debt_consolidation,12.92%,CA,RENT,2500.0,725-729,8.0,14257.0,0.0,3 years
15000,11550.0,0.1367,36,debt_consolidation,17.19%,TX,OWN,3333.33,690-694,8.0,10820.0,0.0,5 years
25000,25000.0,0.1531,36,debt_consolidation,13%,CA,RENT,5416.67,685-689,10.0,22824.0,0.0,6 years
15000,14975.0,0.1491,60,debt_consolidation,8.08%,NC,MORTGAGE,4407.0,720-724,8.0,15818.0,1.0,n/a
5000,5000.0,0.1629,36,debt_consolidation,16.06%,CT,MORTGAGE,8750.0,660-664,12.0,19598.0,1.0,2 years
7500,6025.0,0.1537,36,debt_consolidation,17.50%,CA,OWN,5000.0,675-679,11.0,16422.0,0.0,< 1 year
25000,15675.0,0.1036,60,home_improvement,16.26%,CA,MORTGAGE,3333.33,765-769,6.0,22713.0,1.0,10+ years
3800,3800.0,0.1112,36,major_purchase,15.45%,PA,MORTGAGE,5416.67,700-704,11.0,9266.0,0.0,10+ years
2800,2800.0,0.089,36,other,27.76%,VA,RENT,3250.0,700-704,13.0,22401.0,0.0,10+ years
6250,6250.0,0.0749,36,credit_card,23.97%,AR,MORTGAGE,2900.0,730-734,13.0,21536.0,0.0,2 years
18000,17994.46,0.0991,36,debt_consolidation,11.85%,WA,MORTGAGE,3333.33,725-729,13.0,10416.0,2.0,5 years
6000,6000.0,0.1727,36,debt_consolidation,29.13%,WV,RENT,2752.92,660-664,12.0,4569.0,2.0,< 1 year
20000,20000.0,0.1409,36,debt_consolidation,34.91%,TX,MORTGAGE,4583.33,710-714,8.0,6510.0,1.0,2 years
8000,8000.0,0.1114,36,debt_consolidation,23.93%,KY,RENT,2666.67,700-704,11.0,10128.0,0.0,5 years
12000,12000.0,0.0662,36,home_improvement,4.81%,NY,MORTGAGE,9833.33,790-794,15.0,5584.0,2.0,10+ years
24000,7100.0,0.1112,60,home_improvement,11.99%,CO,OWN,5686.67,775-779,6.0,1726.0,2.0,2 years
3000,2925.0,0.1149,36,debt_consolidation,9.22%,CA,RENT,4900.0,690-694,6.0,3996.0,1.0,10+ years
5000,5000.0,0.0699,36,major_purchase,8.51%,AL,MORTGAGE,3750.0,745-749,12.0,3998.0,0.0,6 years
21850,21800.0,0.1399,60,debt_consolidation,17.95%,NY,RENT,3750.0,730-734,5.0,7102.0,0.0,3 years
15000,10150.07,0.1568,36,other,2.68%,IL,OWN,2500.0,680-684,6.0,3004.0,2.0,1 year
9600,9600.0,0.0729,36,other,9.66%,RI,RENT,6048.0,740-744,7.0,15700.0,0.0,7 years
20000,20000.0,0.1689,60,debt_consolidation,6.83%,WA,OWN,4000.0,700-704,6.0,5845.0,0.0,10+ years
14825,14825.0,0.1367,36,small_business,9.55%,CA,RENT,2500.0,695-699,8.0,8073.0,1.0,2 years
8000,8000.0,0.1727,36,debt_consolidation,1.98%,NY,MORTGAGE,6000.0,670-674,5.0,5032.0,2.0,10+ years
20000,20000.0,0.1171,36,debt_consolidation,14.95%,TX,MORTGAGE,10416.67,720-724,12.0,26179.0,2.0,1 year
7000,7000.0,0.079,36,medical,20.96%,TX,OWN,2300.0,765-769,4.0,0.0,0.0,10+ years
20000,19900.0,0.1062,36,debt_consolidation,12.58%,AL,MORTGAGE,2416.67,760-764,5.0,6011.0,0.0,1 year
17625,17600.0,0.1311,36,credit_card,14.88%,OH,RENT,3333.33,675-679,6.0,20266.0,0.0,2 years
7150,7150.0,0.1311,36,debt_consolidation,12.33%,IL,RENT,3666.67,685-689,11.0,10561.0,1.0,< 1 year
25000,24775.0,0.1036,36,debt_consolidation,0.94%,HI,RENT,8533.33,720-724,9.0,28038.0,0.0,10+ years
9000,9000.0,0.0662,36,debt_consolidation,13.85%,MA,RENT,4166.67,765-769,5.0,7853.0,0.0,1 year
17600,17600.0,0.1635,36,debt_consolidation,17.35%,PA,MORTGAGE,7500.0,665-669,16.0,14555.0,0.0,7 years
10000,10000.0,0.1268,36,debt_consolidation,13.96%,IL,RENT,2500.0,690-694,6.0,10481.0,1.0,< 1 year
11200,11000.0,0.152,60,home_improvement,16.47%,VA,MORTGAGE,6750.0,675-679,15.0,19051.0,0.0,4 years
13225,13225.0,0.1531,36,debt_consolidation,27.07%,CA,RENT,5833.33,680-684,11.0,18569.0,1.0,10+ years
4000,4000.0,0.1114,36,other,33.80%,FL,MORTGAGE,3333.33,700-704,12.0,12922.0,0.0,4 years
25000,17250.0,0.1459,36,debt_consolidation,24.64%,FL,RENT,8750.0,705-709,11.0,20798.0,1.0,< 1 year
9000,9000.0,0.0603,36,debt_consolidation,12.23%,VA,MORTGAGE,5000.0,750-754,13.0,5224.0,0.0,7 years
18225,18225.0,0.1212,36,debt_consolidation,20.87%,MN,MORTGAGE,4850.0,700-704,7.0,37592.0,0.0,3 years
4750,4750.0,0.1472,36,small_business,3%,CO,OWN,866.67,660-664,6.0,740.0,0.0,n/a
13475,13475.0,0.1212,36,credit_card,19.46%,MA,MORTGAGE,2250.0,715-719,3.0,11674.0,0.0,< 1 year
10000,10000.0,0.1905,36,other,17.95%,SC,MORTGAGE,3750.0,675-679,10.0,7034.0,1.0,6 years
12000,12000.0,0.0662,36,credit_card,9.46%,CA,MORTGAGE,5833.33,740-744,9.0,12028.0,0.0,8 years
6000,6000.0,0.1689,60,debt_consolidation,18.39%,CA,RENT,3083.0,695-699,3.0,1181.0,0.0,3 years
5000,5000.0,0.089,36,credit_card,15.93%,PA,MORTGAGE,6666.67,705-709,10.0,12307.0,0.0,7 years
3600,3600.0,0.089,36,debt_consolidation,3.27%,NV,RENT,1558.33,745-749,4.0,1594.0,0.0,3 years
10000,10000.0,0.1427,36,debt_consolidation,10.97%,IL,RENT,7500.0,665-669,6.0,7778.0,0.0,7 years
5450,5450.0,0.1311,36,medical,25.91%,AL,RENT,3500.0,670-674,9.0,7619.0,0.0,1 year
16000,13613.86,0.1528,60,debt_consolidation,15.33%,KY,MORTGAGE,3006.44,700-704,10.0,11011.0,0.0,10+ years
9750,9750.0,0.1727,36,debt_consolidation,21.93%,FL,RENT,2817.5,670-674,12.0,6324.0,1.0,1 year
14000,13975.0,0.1212,36,other,3.25%,NY,MORTGAGE,6250.0,705-709,14.0,7085.0,1.0,10+ years
8500,8500.0,0.0662,36,debt_consolidation,4.90%,CA,MORTGAGE,4166.67,740-744,8.0,7114.0,0.0,10+ years
8000,8000.0,0.0714,36,debt_consolidation,1.73%,CA,RENT,3750.0,765-769,6.0,3381.0,0.0,< 1 year
10400,10350.0,0.1311,36,debt_consolidation,7.59%,NY,OWN,6166.67,695-699,10.0,14193.0,0.0,7 years
21000,21000.0,0.1875,60,home_improvement,11.31%,NY,MORTGAGE,10250.0,695-699,12.0,38820.0,0.0,10+ years
6000,5925.0,0.1183,36,debt_consolidation,3.44%,CA,RENT,6333.33,705-709,13.0,7269.0,0.0,4 years
10800,10800.0,0.1367,60,car,0.94%,IL,RENT,7500.0,730-734,4.0,1577.0,0.0,< 1 year
